##### uCOS-II V2.84 Port V3.30 for WIN32 #####
   0: ***** Test Task 1 First call *****
   0: +++++ Test Task 40 +++++
  20: ***** Test Task 33 *****
  21: ***** Test Task 11 *****
  21: ***** Test Task 22 *****
  21: ***** Test Task 33 *****
  22: ***** Test Task 11 *****
  22: ***** Test Task 22 *****
  22: ***** Test Task 33 *****
  23: ***** Test Task 11 *****
  23: ***** Test Task 22 *****
  23: ***** Test Task 33 *****
  24: ***** Test Task 11 *****
  24: ***** Test Task 22 *****
  24: ***** Test Task 33 *****
  25: ***** Test Task 11 *****
  25: ***** Test Task 22 *****
  25: ***** Test Task 33 *****
  26: ***** Test Task 11 *****
  26: ***** Test Task 22 *****
  26: ***** Test Task 33 *****
  27: ***** Test Task 11 *****
  27: ***** Test Task 22 *****
  27: ***** Test Task 33 *****
  28: ***** Test Task 11 *****
  28: ***** Test Task 22 *****
  28: ***** Test Task 33 *****
  29: ***** Test Task 11 *****
  29: ***** Test Task 22 *****
  29: ***** Test Task 33 *****
  30: ***** Test Task 11 *****
  30: ***** Test Task 22 *****
  30: ***** Test Task 33 *****
  31: ***** Test Task 11 *****
  31: ***** Test Task 22 *****
  31: ***** Test Task 33 *****
  32: ***** Test Task 11 *****
  32: ***** Test Task 22 *****
  32: ***** Test Task 33 *****
  33: ***** Test Task 11 *****
  33: ***** Test Task 22 *****
  33: ***** Test Task 33 *****
  34: ***** Test Task 11 *****
  34: ***** Test Task 22 *****
  34: ***** Test Task 33 *****
  35: ***** Test Task 11 *****
  35: ***** Test Task 22 *****
  35: ***** Test Task 33 *****
  36: ***** Test Task 11 *****
  36: ***** Test Task 22 *****
  36: ***** Test Task 33 *****
  37: ***** Test Task 11 *****
  37: ***** Test Task 22 *****
  37: ***** Test Task 33 *****
  38: ***** Test Task 11 *****
  38: ***** Test Task 22 *****
  38: ***** Test Task 33 *****
  39: ***** Test Task 11 *****
  39: ***** Test Task 22 *****
  39: ***** Test Task 33 *****
  40: ***** Test Task 11 *****
  40: ***** Test Task 22 *****
  40: ***** Test Task 33 *****
  41: ***** Test Task 11 *****
  41: ***** Test Task 22 *****
  41: ***** Test Task 33 *****
  42: ***** Test Task 11 *****
  42: ***** Test Task 22 *****
  42: ***** Test Task 33 *****
  43: ***** Test Task 11 *****
  43: ***** Test Task 22 *****
  43: ***** Test Task 33 *****
  44: ***** Test Task 11 *****
  44: ***** Test Task 22 *****
  44: ***** Test Task 33 *****
  45: ***** Test Task 11 *****
  45: ***** Test Task 22 *****
  45: ***** Test Task 33 *****
  46: ***** Test Task 11 *****
  46: ***** Test Task 22 *****
  46: ***** Test Task 33 *****
  47: ***** Test Task 11 *****
  47: ***** Test Task 22 *****
  47: ***** Test Task 33 *****
  48: ***** Test Task 11 *****
  48: ***** Test Task 22 *****
  48: ***** Test Task 33 *****
  49: ***** Test Task 11 *****
  49: ***** Test Task 22 *****
  49: ***** Test Task 33 *****
  50: ***** Test Task 11 *****
  50: ***** Test Task 22 *****
  50: ***** Test Task 33 *****
  51: ***** Test Task 11 *****
  51: ***** Test Task 22 *****
  51: ***** Test Task 33 *****
  52: ***** Test Task 11 *****
  52: ***** Test Task 22 *****
  52: ***** Test Task 33 *****
  53: ***** Test Task 11 *****
  53: ***** Test Task 22 *****
  53: ***** Test Task 33 *****
  54: ***** Test Task 11 *****
  54: ***** Test Task 22 *****
  54: ***** Test Task 33 *****
  55: ***** Test Task 11 *****
  55: ***** Test Task 22 *****
  55: ***** Test Task 33 *****
  56: ***** Test Task 11 *****
  56: ***** Test Task 22 *****
  56: ***** Test Task 33 *****
  57: ***** Test Task 11 *****
  57: ***** Test Task 22 *****
  57: ***** Test Task 33 *****
  58: ***** Test Task 11 *****
  58: ***** Test Task 22 *****
  58: ***** Test Task 33 *****
  59: ***** Test Task 11 *****
  59: ***** Test Task 22 *****
  59: ***** Test Task 33 *****
  60: ***** Test Task 11 *****
  60: ***** Test Task 22 *****
  60: ***** Test Task 33 *****
  61: ***** Test Task 11 *****
  61: ***** Test Task 22 *****
  61: ***** Test Task 33 *****
  62: ***** Test Task 11 *****
  62: ***** Test Task 22 *****
  62: ***** Test Task 33 *****
  63: ***** Test Task 11 *****
  63: ***** Test Task 22 *****
  63: ***** Test Task 33 *****
  64: ***** Test Task 11 *****
  64: ***** Test Task 22 *****
  64: ***** Test Task 33 *****
  65: ***** Test Task 11 *****
  65: ***** Test Task 22 *****
  65: ***** Test Task 33 *****
  66: ***** Test Task 11 *****
  66: ***** Test Task 22 *****
  66: ***** Test Task 33 *****
  67: ***** Test Task 11 *****
  67: ***** Test Task 22 *****
  67: ***** Test Task 33 *****
  68: ***** Test Task 11 *****
  68: ***** Test Task 22 *****
  68: ***** Test Task 33 *****
  69: ***** Test Task 11 *****
  69: ***** Test Task 22 *****
  69: ***** Test Task 33 *****
  70: ***** Test Task 11 *****
  70: ***** Test Task 22 *****
  70: ***** Test Task 33 *****
  71: ***** Test Task 11 *****
  71: ***** Test Task 22 *****
  71: ***** Test Task 33 *****
  72: ***** Test Task 11 *****
  72: ***** Test Task 22 *****
  72: ***** Test Task 33 *****
  73: ***** Test Task 11 *****
  73: ***** Test Task 22 *****
  73: ***** Test Task 33 *****
  74: ***** Test Task 11 *****
  74: ***** Test Task 22 *****
  74: ***** Test Task 33 *****
  75: ***** Test Task 11 *****
  75: ***** Test Task 22 *****
  75: ***** Test Task 33 *****
  76: ***** Test Task 11 *****
  76: ***** Test Task 22 *****
  76: ***** Test Task 33 *****
  77: ***** Test Task 11 *****
  77: ***** Test Task 22 *****
  77: ***** Test Task 33 *****
  78: ***** Test Task 11 *****
  78: ***** Test Task 22 *****
  78: ***** Test Task 33 *****
  79: ***** Test Task 11 *****
  79: ***** Test Task 22 *****
  79: ***** Test Task 33 *****
  80: ***** Test Task 11 *****
  80: ***** Test Task 22 *****
  80: ***** Test Task 33 *****
  81: ***** Test Task 11 *****
  81: ***** Test Task 22 *****
  81: ***** Test Task 33 *****
  82: ***** Test Task 11 *****
  82: ***** Test Task 22 *****
  82: ***** Test Task 33 *****
  83: ***** Test Task 11 *****
  83: ***** Test Task 22 *****
  83: ***** Test Task 33 *****
  84: ***** Test Task 11 *****
  84: ***** Test Task 22 *****
  84: ***** Test Task 33 *****
  85: ***** Test Task 11 *****
  85: ***** Test Task 22 *****
  85: ***** Test Task 33 *****
  86: ***** Test Task 11 *****
  86: ***** Test Task 22 *****
  86: ***** Test Task 33 *****
  87: ***** Test Task 11 *****
  87: ***** Test Task 22 *****
  87: ***** Test Task 33 *****
  88: ***** Test Task 11 *****
  88: ***** Test Task 22 *****
  88: ***** Test Task 33 *****
  89: ***** Test Task 11 *****
  89: ***** Test Task 22 *****
  89: ***** Test Task 33 *****
  90: ***** Test Task 11 *****
  90: ***** Test Task 22 *****
  90: ***** Test Task 33 *****
  91: ***** Test Task 11 *****
  91: ***** Test Task 22 *****
  91: ***** Test Task 33 *****
  92: ***** Test Task 11 *****
  92: ***** Test Task 22 *****
  92: ***** Test Task 33 *****
  93: ***** Test Task 11 *****
  93: ***** Test Task 22 *****
  93: ***** Test Task 33 *****
  94: ***** Test Task 11 *****
  94: ***** Test Task 22 *****
  94: ***** Test Task 33 *****
  95: ***** Test Task 11 *****
  95: ***** Test Task 22 *****
  95: ***** Test Task 33 *****
  96: ***** Test Task 11 *****
  96: ***** Test Task 22 *****
  96: ***** Test Task 33 *****
  97: ***** Test Task 11 *****
  97: ***** Test Task 22 *****
  97: ***** Test Task 33 *****
  98: ***** Test Task 11 *****
  98: ***** Test Task 22 *****
  98: ***** Test Task 33 *****
  99: ***** Test Task 11 *****
  99: ***** Test Task 22 *****
  99: ***** Test Task 33 *****
 100: ***** Test Task 11 *****
 100: ***** Test Task 22 *****
 100: ***** Test Task 33 *****
 101: ***** Test Task 11 *****
 101: ***** Test Task 22 *****
 101: ***** Test Task 33 *****
 102: ***** Test Task 11 *****
 102: ***** Test Task 22 *****
 102: ***** Test Task 33 *****
 103: ***** Test Task 11 *****
 103: ***** Test Task 22 *****
 103: ***** Test Task 33 *****
 104: ***** Test Task 11 *****
 104: ***** Test Task 22 *****
 104: ***** Test Task 33 *****
 105: ***** Test Task 11 *****
 105: ***** Test Task 22 *****
 105: ***** Test Task 33 *****
 106: ***** Test Task 11 *****
 106: ***** Test Task 22 *****
 106: ***** Test Task 33 *****
 107: ***** Test Task 11 *****
 107: ***** Test Task 22 *****
 107: ***** Test Task 33 *****
 108: ***** Test Task 11 *****
 108: ***** Test Task 22 *****
 108: ***** Test Task 33 *****
 109: ***** Test Task 11 *****
 109: ***** Test Task 22 *****
 109: ***** Test Task 33 *****
 110: ***** Test Task 11 *****
 110: ***** Test Task 22 *****
 110: ***** Test Task 33 *****
 111: ***** Test Task 11 *****
 111: ***** Test Task 22 *****
 111: ***** Test Task 33 *****
 112: ***** Test Task 11 *****
 112: ***** Test Task 22 *****
 112: ***** Test Task 33 *****
 113: ***** Test Task 11 *****
 113: ***** Test Task 22 *****
 113: ***** Test Task 33 *****
 114: ***** Test Task 11 *****
 114: ***** Test Task 22 *****
 114: ***** Test Task 33 *****
 115: ***** Test Task 11 *****
 115: ***** Test Task 22 *****
 115: ***** Test Task 33 *****
 116: ***** Test Task 11 *****
 116: ***** Test Task 22 *****
 116: ***** Test Task 33 *****
 117: ***** Test Task 11 *****
 117: ***** Test Task 22 *****
 117: ***** Test Task 33 *****
 118: ***** Test Task 11 *****
 118: ***** Test Task 22 *****
 118: ***** Test Task 33 *****
 119: ***** Test Task 11 *****
 119: ***** Test Task 22 *****
 119: ***** Test Task 33 *****
 120: ***** Test Task 11 *****
 120: ***** Test Task 22 *****
 120: ***** Test Task 33 *****
 121: ***** Test Task 11 *****
 121: ***** Test Task 22 *****
 121: ***** Test Task 33 *****
---Exiting OSPrioCur=63-------------
